"","x","y"
"166",-2.35,0.0479558265159961
"167",-2.34,0.0487608621380667
"168",-2.33,0.049575873481873
"169",-2.32,0.0504009099809532
"170",-2.31,0.0512360197290009
"171",-2.3,0.052081249443724
"172",-2.29,0.0529366444305997
"173",-2.28,0.0538022485465382
"174",-2.27,0.054678104163469
"175",-2.26,0.055564252131865
"176",-2.25,0.0564607317442187
"177",-2.24,0.0573675806984859
"178",-2.23,0.0582848350615118
"179",-2.22,0.0592125292324541
"180",-2.21,0.0601506959062215
"181",-2.2,0.0610993660369407
"182",-2.19,0.0620585688014696
"183",-2.18,0.0630283315629732
"184",-2.17,0.0640086798345784
"185",-2.16,0.0649996372431249
"186",-2.15,0.0660012254930294
"187",-2.14,0.0670134643302802
"188",-2.13,0.0680363715065801
